Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31052040/LT-31,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30092024/LT_MEJA_DELHI,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/22052037/LT-59,NR/01082024/31082024/SKS-Raigarh,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/jitpl
1,00:00-00:15,26.66,60,60,35.5,0,0,0,48.28,0,21.25,4.93,273.05,100.61,0,0,35.5,0,0,0,0,30.01,0,0,106.5,0,0,0,0,0,262.19,24.14,0,8.78,0,87.11,15.5536,96.57,15.12,0,96.57,32,0,66.22,38.63,31.41,17.422

2,00:15-00:30,26.66,60,60,35.5,0,0,0,48.28,0,21.25,4.93,273.05,100.61,0,0,35.5,0,0,0,0,30.01,0,0,106.5,0,0,0,0,0,262.19,24.14,0,8.78,0,87.11,15.5536,96.57,15.12,0,96.57,32,0,66.22,38.63,31.41,17.422

3,00:30-00:45,26.66,60,60,35.5,0,0,0,48.28,0,21.25,4.93,273.05,100.61,0,0,35.5,0,0,0,0,30.01,0,0,106.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.57,23.365,96.57,15.12,0,96.57,23.365,0,66.22,38.63,31.41,17.422

4,00:45-01:00,15,60,60,22.5,0,0,0,48.28,0,21.25,4.93,273.05,71.64,0,0,22.5,0,0,0,0,29.21,0,0,67.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.57,23.365,96.57,15.12,0,96.57,23.365,0,66.22,38.63,31.41,17.422

5,01:00-01:15,15.34,29.33,29.33,22.66,0,0,0,48.28,0,21.25,4.73,273.05,57.94,0,0,22.67,0,0,0,0,33.41,0,0,68,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

6,01:15-01:30,16,30.67,30.67,23,0,0,0,48.28,0,21.25,4.73,273.05,57.94,0,0,23,0,0,0,0,31.41,0,0,69,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

7,01:30-01:45,10,33.33,33.33,12.5,0,0,0,48.28,0,21.25,4.73,273.05,53.11,0,0,12.5,0,0,0,0,40.01,0,0,37.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

8,01:45-02:00,11.34,38.33,38.33,13,0,0,0,48.28,4.37,21.25,4.73,273.05,53.11,0,0,13,0,0,0,0,40.01,0,0,39,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

9,02:00-02:15,16,58.33,58.33,19.16,0,0,0,48.28,4.37,21.25,4.55,273.05,53.11,0,0,19.17,0,0,0,0,40.01,0,0,57.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

10,02:15-02:30,17.34,58.67,58.67,19.66,0,0,0,48.28,4.37,21.25,4.55,273.05,53.11,0,0,19.67,0,0,0,0,40.01,0,0,59,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

11,02:30-02:45,18.34,63.33,63.33,20.84,0,0,0,48.28,3.8,21.25,4.55,273.05,53.11,0,0,20.83,0,0,0,0,40.01,0,0,62.5,0,0,0,0,0,227.5,24.14,0,8.78,0,57.65,26.9071,96.57,15.12,0,96.57,26.9071,0,70.37,38.63,31.41,17.422

12,02:45-03:00,18.34,63.33,63.33,21.34,0,0,0,48.28,3.74,21.25,4.55,273.05,53.11,0,0,21.33,0,0,0,0,40.01,0,0,64,0,0,0,0,0,227.5,24.14,0,8.78,0,57.65,26.9071,96.57,15.12,0,96.57,26.9071,0,70.37,38.63,31.41,17.422

13,03:00-03:15,26.66,72.67,72.67,27.5,0,0,0,48.28,0,21.25,4.36,273.05,53.11,0,0,27.5,0,0,0,0,40.01,0,0,82.5,0,0,0,0,0,179.21,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,31.41,17.422

14,03:15-03:30,26.66,72.67,72.67,27.5,0,0,0,48.28,0,21.25,4.36,273.05,53.11,0,0,27.5,0,0,0,0,40.01,0,0,82.5,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,31.41,17.422

15,03:30-03:45,26.66,72.67,72.67,27.5,0,0,0,48.28,0,21.25,4.36,273.05,53.11,0,0,27.5,0,0,0,0,40.01,0,0,82.5,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

16,03:45-04:00,26.66,72.67,72.67,27.66,0,0,0,48.28,0,21.25,4.36,231.77,53.11,0,0,27.67,0,0,0,0,40.01,0,0,83,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

17,04:00-04:15,26.66,72.33,72.33,28,0,0,0,48.28,0,21.25,4.23,193.14,53.11,0,0,28,0,0,0,0,34.02,0,0,84,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

18,04:15-04:30,26.66,72.33,72.33,28.34,0,0,0,48.28,0,21.25,4.23,171.06,53.11,0,0,28.33,0,0,0,0,33.82,0,0,85,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

19,04:30-04:45,26.34,72,72,31,0,0,0,48.28,0,21.25,4.23,171.06,53.11,0,0,31,0,0,0,0,34.02,0,0,93,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

20,04:45-05:00,26,71.67,71.67,31,0,0,0,48.28,0,21.25,4.23,171.06,53.11,0,0,31,0,0,0,0,34.02,0,0,93,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

21,05:00-05:15,25.66,71.67,71.67,31,0,0,0,48.28,0,21.25,4.08,171.06,53.11,0,0,31,0,0,0,0,33.82,0,0,93,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

22,05:15-05:30,25.34,71.33,71.33,31,0,0,0,48.28,0,21.25,4.08,171.06,53.11,0,0,31,0,0,0,0,33.62,0,0,93,0,0,0,0,0,171.55,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

23,05:30-05:45,25,71,71,31,0,0,0,48.28,0,21.25,4.08,171.06,53.11,0,0,31,0,0,0,0,25.21,0,0,93,0,0,0,0,0,111.06,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

24,05:45-06:00,25,71,71,31,0,0,0,48.28,0,21.25,4.08,171.06,53.11,0,0,31,0,0,0,0,25.21,0,0,93,0,0,0,0,0,111.06,24.14,0,8.78,0,57.65,26.9071,96.57,14.66,0,96.57,26.9071,0,70.37,0,30.4,17.422

25,06:00-06:15,20,70.67,70.67,26.66,8.47,10.23,0,48.28,0,21.25,3.9,171.06,53.11,2.46,0,26.67,0,1,1,0.49,25.21,0,0.82,80,0.62,1,4,1,0,111.06,24.14,0,8.78,0,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,30.4,17.422

26,06:15-06:30,20,70.33,70.33,27,13.3,16.36,0,48.28,0,21.25,3.9,171.06,53.11,5.58,0,27,0,2,2,1.11,25.41,1,2.92,81,2,4,9,1,0,111.06,24.14,0,8.78,0,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

27,06:30-06:45,20,70,70,27.16,21.85,23.13,0.75,48.28,0,21.25,3.9,171.06,53.11,9.48,0,27.17,0,3,5,1.89,26.01,3,4.94,81.5,3.23,7,12,3,0.77,111.06,24.14,0,8.78,0.75,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

28,06:45-07:00,20,69.67,69.67,27.34,28.69,28.69,1.09,48.28,0,21.25,3.9,171.06,53.11,14.15,0,27.33,0,5,8,2.83,26.41,4,7.94,82,4.48,14,16,6,1.12,111.06,24.14,0,8.78,1.09,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

29,07:00-07:15,20.66,71.67,71.67,27.5,28.35,28.35,1.58,48.28,0,21.25,3.9,171.06,53.11,21.93,0,27.5,0,7,10,4.39,27.01,5,10,82.5,6.15,21,19,9,1.62,111.06,24.14,0,8.78,1.58,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

30,07:15-07:30,21,71.67,71.67,27.5,25.9,25.9,2.14,48.28,0,21.25,3.9,171.06,53.11,32.14,0,27.5,0,8,12,6.43,27.41,6,13,82.5,8.36,28,25.9,12,2.18,111.06,24.14,0,8.78,2.14,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

31,07:30-07:45,21.34,71.67,71.67,27.5,28.24,28.23,2.74,48.28,0,21.25,3.9,171.06,53.11,44.49,0,27.5,0,8.5,15,8.9,27.81,7,17,82.5,11.96,42,28.23,18,2.81,111.06,24.14,0,8.78,2.74,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,30.4,17.422

32,07:45-08:00,21.66,71.67,71.67,27.5,28.74,28.73,3.57,48.28,0,21.25,3.9,171.06,53.11,58.63,0,27.5,0,9.5,20,11.72,28.01,10,20,82.5,15.33,53,28.73,22,3.65,111.06,24.14,0,8.78,3.57,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.9,17.422

33,08:00-08:15,21.66,71.67,71.67,27.5,29.06,29.07,4.4,48.28,0,21.25,3.8,171.06,53.11,74.11,0,27.5,0,12,27,14.82,29.01,13,22,82.5,18.83,60,29.07,25,4.52,111.06,24.14,0,8.78,4.4,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.9,17.422

34,08:15-08:30,21.66,71.67,71.67,27.5,30.74,30.73,5.24,48.28,0,21.25,3.8,171.06,53.11,90.16,0,27.5,0,16,34,18.03,29.62,16,27,82.5,21.97,74,30.73,31,5.38,111.06,24.14,0,8.78,5.24,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

35,08:30-08:45,15,71.67,71.67,27.5,31.66,31.67,6.1,48.28,0,21.25,3.8,171.06,53.11,106.43,0,27.5,0,20,41,21.29,30.82,19,32,82.5,24.92,83,31.67,35,6.25,111.06,24.14,0,8.78,6.1,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

36,08:45-09:00,15,71.67,71.67,27.5,31.66,31.67,6.92,48.28,0,21.25,3.8,171.06,53.11,122.78,0,27.5,0,21,47,24.55,32.02,23,37,82.5,27.97,97,31.67,41,7.09,111.06,24.14,0,8.78,6.92,57.65,26.9071,96.57,14.38,0,96.57,26.9071,0,70.37,0,29.39,17.422

37,09:00-09:15,15.66,71.33,71.33,27.5,32,32,7.66,0,0,0,3.8,171.06,53.11,139.08,0,27.5,0,25,54,27.82,33.42,26,50,82.5,32.43,112,32,48,7.85,111.06,0,0,8.78,7.66,57.65,26.9071,0,14.38,0,0,26.9071,0,70.37,0,29.39,17.422

38,09:15-09:30,16.34,71,71,27.5,32,32,8.36,0,0,0,3.8,171.06,53.11,154.71,0,27.5,0,29,61,30.94,34.82,29,55,82.5,38.86,126,32,54,8.57,111.06,0,0,8.78,8.36,57.65,26.9071,0,14.38,0,0,26.9071,0,70.37,0,29.39,17.422

39,09:30-09:45,25.66,70.67,70.67,27.5,32,32,9.02,0,0,0,3.8,171.06,53.11,177.7,0,27.5,0,32,66,35.54,34.62,32,60,82.5,45.96,137,32,58,9.25,111.06,0,0,8.78,9.02,57.65,26.9071,0,14.38,0,0,26.9071,0,70.37,0,29.39,17.422

40,09:45-10:00,26.34,70.33,70.33,27.5,32,32,9.65,0,0,0,3.8,171.06,53.11,191.47,0,27.5,0,35,71,38.29,34.62,34,67,82.5,53.44,147,32,63,9.89,111.06,0,0,8.78,9.65,57.65,26.9071,0,14.38,0,0,26.9071,0,70.37,0,29.39,17.422

41,10:00-10:15,27.34,70,70,27.16,32,32,11.87,0,0,0,3.72,171.06,53.11,204.16,0,27.17,0,36,68,40.83,34.62,32,70,81.5,60.28,154,32,66,12.18,111.06,0,0,8.78,11.87,57.65,26.9071,0,14.2,0,0,26.9071,0,70.37,0,28.26,17.422

42,10:15-10:30,28,70,70,26.5,32,32,12.54,0,0,0,3.72,171.06,53.11,215.59,0,26.5,0,38,72,43.12,34.62,35,72,79.5,65.85,161,32,69,12.85,111.06,0,0,8.78,12.54,57.65,26.9071,0,14.2,0,0,26.9071,0,70.37,0,28.26,17.422

43,10:30-10:45,28.66,73.33,73.33,29.16,32,32,13.24,0,0,0,3.72,171.06,53.11,200.39,0,29.17,0,39,51,40.08,35.02,24,78,87.5,70.88,140,32,60,13.57,111.06,0,0,8.78,13.24,57.65,26.9071,0,14.2,0,0,26.9071,0,70.37,0,28.26,17.422

44,10:45-11:00,29.34,73.33,73.33,29.16,32,32,13.94,0,0,0,3.72,171.06,53.11,216.67,0,29.17,0,40,54,43.33,35.62,26,80,87.5,75.5,147,32,63,14.28,111.06,0,0,8.78,13.94,57.65,26.9071,0,14.2,0,0,26.9071,0,70.37,0,28.26,17.422

