Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71149,NR/2025/26236/A/70783,NR/2025/26688/C,NR/30092023/31122025/SH-07,NR/2025/25855/A/71178,NR/2025/26101/A/70773,NR/2025/26085/A/70742,NR/2025/26312/A/70782,NR/30092023/26122029/SH-06,NR/2025/26291/A/71243,GNA/NR/2025/05/01/8954,NR/2025/25858/A/71179,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/4138,NR/2025/26002/A/71162,NR/2025/26153/A/70784,NR/2025/26191/A/70717,NR/2025/26672/C,NR/2025/26711/C,NR/2025/26673/C,NR/2025/26712/C,NR/2025/26233/A/71246,NR/2025/26265/A/71245,NR/2025/26198/A/71364,NR/2025/26202/A/71357,NR/2025/26199/A/71363,NR/2025/26201/A/71361,NR/2025/26674/C,NR/2025/26232/A/71247,NR/2025/26197/A/71365,NR/2025/26289/A/71244,NR/2025/26675/C,NR/2025/26676/C,NR/2025/26336/A/71147,NR/2025/26677/C,NR/2025/26200/A/71362,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7791,Total
,,SECI_Trader,BRPL,IEXL,DIAPL,BAWANA_GAS,PowerPulse,GMRETL,ITCLH,IEXL,PUNJAB,HPXL,HPXL,PowerPulse,DELHI,IEXL,NDMC,PXIL,PowerPulse,PowerPulse,IEXL,PXIL,HPXL,NVVNL,HPXL,NVVNL,HPXL,HPXL,APPCPL,NVVNL,APPCPL,APPCPL,HPXL,HPXL,APPCPL,HPXL,HPXL,HPXL,BRPL,IEXL,APPCPL,PowerPulse,PowerPulse,PXIL,PXIL,HPXL,PXIL,HPXL,PXIL,PXIL,PowerPulse,IEXL,
,,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,DELHI_UT,MP_State,MSEB_State,NA,HIMACHAL_STATE,JK_and_LADAKH_UT,NA,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,MP_State,GEB_State,NA,NA,GEB_State,GEB_State,NA,NA,NA,NA,NA,ODISHA_STATE,Meghalaya_State,HIMACHAL_STATE,ODISHA_STATE,NA,UTTARPRADESH_STATE,CSEB_State,NA,ODISHA_STATE,
,,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,GBHHPL,BAWANA_GAS,APL_Raipur_TPP,GBHHPL,ITCWIND,MBMP,BAWANA_GAS,Ultratech_Sidhi_MP,GRETAENERGY,APL_Raipur_TPP,CHANJUII,O2ZTPL,JIPL,SINGOLI,COASTGEN,COASTGEN,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,JPL,SORANG_HEP,SIMHAPURI,Kameng,PCBL_MUNDRA,JPL,RKM_POWER,JPNIGRIE_JNSTPP,JPL2,RKM_POWER,Ultratech_Sidhi_MP,PCBL_PALEJ,SKS_Raigarh,SIMHAPURI,PCBL_MUNDRA,PCBL_PALEJ,DADRT2,MBMP,TRN_ENERGY,APL_Raipur_TPP,COASTGEN,FACORPOWER,Meghalaya_Ben,KGEPL_HP,FACORPOWER,JPL,LAPL_UP,SKSIPL,MAHAN_ENERGEN,VSL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,MES_Delhi,DIAPL,HARYANA,TPDDL,TPDDL,ITCLH,NDMC,PUNJAB,BRPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,East-North,North-North,South-East-North,South-West-North,South-West-North,West-North,West-North,North-North,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-East-North,East-North,North East-East-North,North-North,East-North,West-North,North-North,West-North,West-North,East-North,
1,00:00-00:15,0,0,0,6.76,17.48,115.84,0,0.77,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1396.24

2,00:15-00:30,0,0,0,6.76,17.48,115.84,0,0.77,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1396.24

3,00:30-00:45,0,0,0,6.76,23.14,115.84,0,0.77,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1401.8999999999999

4,00:45-01:00,0,0,0,6.76,23.14,115.84,0,0.77,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1401.8999999999999

5,01:00-01:15,0,0,0,6.76,23.14,115.84,0,0.68,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1401.81

6,01:15-01:30,0,0,0,6.76,23.14,115.84,0,0.68,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1401.81

7,01:30-01:45,0,0,0,6.76,23.14,115.84,0,0.68,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1401.81

8,01:45-02:00,0,0,0,6.76,23.14,115.84,0,0.68,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1401.81

9,02:00-02:15,0,0,0,6.76,23.14,115.84,0,0.63,0,30,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1284.9599999999998

10,02:15-02:30,0,0,0,6.76,23.14,115.84,0,0.63,0,30,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1284.9599999999998

11,02:30-02:45,0,0,0,6.76,23.14,115.84,0,0.63,0,30,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1284.9599999999998

12,02:45-03:00,0,0,0,6.76,26.1,115.84,0,0.63,0,30,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1287.9199999999998

13,03:00-03:15,0,0,0,6.76,26.1,115.84,0,0.48,0,30,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1287.7699999999998

14,03:15-03:30,0,0,0,6.76,26.1,115.84,0,0.48,0,30,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1287.7699999999998

15,03:30-03:45,0,0,0,6.76,26.92,115.84,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1285.5099999999998

16,03:45-04:00,0,0,0,6.76,26.92,115.84,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1285.5099999999998

17,04:00-04:15,0,0,0,6.76,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.6699999999996

18,04:15-04:30,0,0,0,6.76,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.6699999999996

19,04:30-04:45,0,0,0,6.76,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.6699999999996

20,04:45-05:00,0,0,0,6.76,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.6699999999996

21,05:00-05:15,0,0,0,6.76,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.6699999999996

22,05:15-05:30,0.02,0,0,6.76,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.6899999999998

23,05:30-05:45,0.12,0,0,5.79,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1168.8199999999997

24,05:45-06:00,0.13,0,0,5.79,26.92,0,0,0.48,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1168.8299999999997

25,06:00-06:15,0.67,0,0,4.83,26.92,0,0,0.58,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1168.5099999999998

26,06:15-06:30,1.42,0,0,4.83,26.92,0,0,0.58,0,26.92,24.13,0,0,0,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1169.2599999999998

27,06:30-06:45,5.13,1,0,4.83,26.92,0,0,0.58,0,26.92,24.13,0,0,11.64,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1050.4699999999998

28,06:45-07:00,8.18,4,0,4.83,26.92,0,0,0.58,0,26.92,24.13,0,0,11.64,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1056.52

29,07:00-07:15,12.17,14,0,4.83,26.92,0,0,0.68,0,26.92,24.13,0,0,11.54,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1070.51

30,07:15-07:30,17.24,28,0,4.83,26.92,0,0,0.68,0,26.92,24.13,0,0,11.54,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1089.58

31,07:30-07:45,23.34,42,0,4.83,26.92,0,0,0.68,0,26.92,24.13,0,0,11.54,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1109.6799999999998

32,07:45-08:00,30.14,56,0,4.83,26.92,0,0,0.68,0,26.92,24.13,0,0,11.54,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,0,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,96.53,28.96,10.62,123.08,0,1130.48

33,08:00-08:15,37.28,70,7.72,4.83,26.92,0,0,0.97,0,26.92,24.13,0,0,11.36,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1159.45

34,08:15-08:30,44.44,88,7.72,4.83,26.92,0,0,0.97,0,26.92,24.13,0,0,11.36,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1184.61

35,08:30-08:45,51.78,105,7.72,4.83,26.92,0,0,0.97,0,26.92,24.13,0,0,11.36,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1208.95

36,08:45-09:00,59.02,123,7.72,4.83,26.92,0,0,0.97,0,26.92,24.13,0,0,11.36,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,0,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1234.19

37,09:00-09:15,65.52,137,10.62,4.83,26.94,0,0,0.97,0,26.94,0,0,0,11.18,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,4.83,0,26.32,0,26.32,26.32,24.13,4.83,8.77,0,0,0,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1310.5400000000002

38,09:15-09:30,72.09,151,10.62,4.83,26.94,0,0,0.97,0,26.94,0,0,0,11.18,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,4.83,0,26.32,0,26.32,26.32,24.13,4.83,8.77,0,0,0,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1331.1100000000001

39,09:30-09:45,78.18,165,10.62,4.83,26.94,0,0,0.97,0,26.94,0,0,0,11.18,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,4.83,0,26.32,0,26.32,26.32,24.13,4.83,8.77,0,0,0,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1351.2

40,09:45-10:00,83.21,179,10.62,4.83,26.94,0,0,0.97,0,26.94,0,0,0,11.18,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,4.83,0,26.32,0,26.32,26.32,24.13,4.83,8.77,0,0,0,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1370.23

41,10:00-10:15,87.72,189,12.55,4.83,26.94,0,0,0.97,0,26.94,0,0,0,10.99,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,4.83,0,26.32,0,26.32,26.32,24.13,4.83,8.77,0,0,0,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1386.48

